Publication Years	records	% of 14510
2019	330	2.274
2018	2855	19.676
2017	2378	16.389
2016	1903	13.115
2015	1622	11.178
2014	1149	7.919
2013	882	6.079
2012	742	5.114
2011	547	3.770
2010	451	3.108
2009	378	2.605
2008	313	2.157
2007	239	1.647
2006	182	1.254
2005	139	0.958
2004	115	0.793
2003	59	0.407
2002	54	0.372
2001	43	0.296
2000	32	0.221
1999	23	0.159
1998	14	0.096
1997	12	0.083
1996	10	0.069
1995	8	0.055
